ID,t,entity,x,y,z,label
1_1,1,point,43.7292,137.866,146.266,1
1_2,1,point,141.53,155.895,142.171,2
1_4,1,point,442.417,91.5323,136.956,4
1_7,1,point,104.798,103.505,135.985,7
1_9,1,point,274.742,131.209,134.768,9
1_10,1,point,277.959,141.144,125.496,ADLR
1_11,1,point,307.246,132.674,135.403,11
1_12,1,point,344.819,129.847,134.136,12
1_13,1,point,158.224,139.219,131.039,13
1_14,1,point,205.189,121.154,130.645,14
1_16,1,point,98.2573,58.2109,129.501,16
1_18,1,point,247.629,103.648,129.328,18
1_19,1,point,251.52,98.4271,118.679,19
1_20,1,point,165.294,167.742,128.957,20
1_21,1,point,110.039,107.869,126.724,21
1_22,1,point,172.995,123.791,125.967,22
1_23,1,point,338.66,176.126,124.665,23
1_24,1,point,411.036,120.701,123.256,24
1_25,1,point,258.726,125.366,123.257,25
1_26,1,point,189.122,139.457,123.941,26
1_27,1,point,214.003,95.9684,122.526,27
1_31,1,point,291.163,143.891,123.062,ASIR
1_35,1,point,239.481,123.92,120.661,35
1_36,1,point,173.103,136.881,128.636,36
1_37,1,point,172.257,143.473,120.353,37
1_38,1,point,176.653,151.815,112.18,38
1_39,1,point,127.114,111.079,119.357,39
1_40,1,point,320.399,170.2,120.852,40
1_41,1,point,246.737,139.334,118.372,41
1_42,1,point,305.86,165.045,118.013,42
1_43,1,point,240.805,158.054,116.933,43
1_44,1,point,139.99,75.3995,116.651,44
1_45,1,point,291.716,162.775,116.164,45
1_46,1,point,53.072,170.282,115.909,46
1_47,1,point,171.421,97.7861,115.521,47
1_48,1,point,150.479,156.588,114.463,48
1_49,1,point,157.713,82.3665,113.363,49
1_50,1,point,281.75,168.454,114.905,AWBR
1_51,1,point,275.731,69.5939,111.494,51
1_52,1,point,334.016,107.457,111.363,52
1_53,1,point,192.418,92.2324,111.009,53
1_54,1,point,251.651,148.09,111.327,54
1_56,1,point,198.642,154.825,116.148,56
1_57,1,point,204.93,151.946,109.684,57
1_58,1,point,220.224,159.155,110.348,58
1_59,1,point,191.896,148.962,108.378,59
1_60,1,point,278.083,156.796,107.952,60
1_61,1,point,269.146,163.291,104.452,ADFR
1_62,1,point,252.981,159.81,107.696,62
1_63,1,point,260.258,167.392,96.2141,63
1_65,1,point,181.137,83.3638,107.766,65
1_66,1,point,429.617,191.011,105.9,66
1_67,1,point,454.871,191.368,104.656,67
1_68,1,point,260.041,85.2964,102.764,68
1_69,1,point,335.71,182.488,102.545,69
1_70,1,point,241.552,91.6007,102.128,70
1_71,1,point,320.66,178.618,113.653,71
1_72,1,point,315.545,175.544,112.319,72
1_73,1,point,319.486,176.696,101.111,73
1_74,1,point,30.9957,140.217,101.443,74
1_75,1,point,295.241,75.6978,97.3244,ADLL
1_76,1,point,328.908,64.2465,98.4303,76
1_79,1,point,311.373,71.2556,94.6803,ASIL
1_81,1,point,327.423,195.037,97.1126,81
1_82,1,point,213.738,77.9001,97.072,82
1_83,1,point,304.045,180.398,106.387,83
1_85,1,point,305.343,169.215,96.9114,85
1_86,1,point,89.457,139.447,93.9432,86
1_87,1,point,320.952,148.154,94.1181,87
1_88,1,point,394.51,70.0059,92.5477,88
1_89,1,point,170.643,80.0899,93.4563,89
1_90,1,point,163.391,78.5658,81.8693,90
1_91,1,point,190.483,87.1169,92.3735,91
1_92,1,point,76.9668,157.205,92.5006,92
1_93,1,point,21.4689,103.753,90.6637,93
1_94,1,point,89.025,155.79,91.3679,94
1_95,1,point,62.7237,174.751,91.8592,95
1_96,1,point,512.581,212.956,91.3346,96
1_97,1,point,349.333,83.8364,90.6122,97
1_98,1,point,128.325,145.377,91.2803,98
1_99,1,point,277.255,172.984,92.702,99
1_100,1,point,273.594,157.577,91.8929,100
1_101,1,point,273.218,160.217,83.7855,101
1_102,1,point,287.863,177.018,100.093,ASHR
1_106,1,point,234.382,73.8717,90.2304,106
1_107,1,point,265.409,74.897,90.0485,107
1_108,1,point,487.643,200.832,90.148,108
1_109,1,point,323.56,179.613,88.7084,109
1_110,1,point,307.344,191.197,89.1482,110
1_111,1,point,215.162,157.751,87.3877,111
1_112,1,point,254.447,83.7651,84.7992,112
1_113,1,point,321.614,61.9224,83.4626,113
1_114,1,point,362.163,190.965,83.128,114
1_115,1,point,87.7784,103.43,81.2074,115
1_117,1,point,266.108,84.8266,79.2517,117
1_118,1,point,266.342,89.6678,65.7452,118
1_120,1,point,200.89,151.276,78.9675,120
1_121,1,point,306.676,69.1796,75.8919,121
1_122,1,point,183.428,80.7197,80.5032,122
1_123,1,point,180.219,90.2789,76.3721,123
1_124,1,point,334.871,60.1847,75.9218,124
1_125,1,point,205.67,80.98,75.5825,125
1_126,1,point,80.0535,173.812,74.3539,126
1_127,1,point,295.648,68.6464,72.43,AWBL
1_128,1,point,295.487,81.4897,72.0319,128
1_129,1,point,124.37,100.564,72.5186,129
1_130,1,point,213.054,152.751,70.39,130
1_131,1,point,358.749,56.9325,69.287,131
1_132,1,point,85.7995,91.8152,68.9071,132
1_133,1,point,71.8543,88.4375,68.3617,133
1_134,1,point,250.83,78.9579,68.0559,134
1_135,1,point,323.181,67.9031,65.5123,135
1_136,1,point,158.268,98.4031,66.8509,136
1_137,1,point,264.148,138.07,67.1768,137
1_138,1,point,161.985,139.641,65.6537,138
1_139,1,point,321.128,103.37,65.3102,139
1_140,1,point,206.568,98.1411,62.6766,140
1_141,1,point,270.129,109.527,63.1849,141
1_142,1,point,217.322,138.56,62.6333,142
1_143,1,point,205.007,143.614,63.128,143
1_144,1,point,190.002,99.6071,61.7148,144
1_145,1,point,264.029,123.951,61.9833,145
1_146,1,point,290.959,148.054,62.4986,146
1_147,1,point,146.681,152.594,61.9463,147
1_148,1,point,303.079,161.527,62.4424,148
1_150,1,point,311.509,158.163,58.5717,150
1_151,1,point,305.552,160.853,46.1962,151
1_153,1,point,343.708,62.2251,58.2005,153
1_154,1,point,171.488,123.616,59.3077,154
1_155,1,point,277.257,79.3404,94.1106,ASKL
1_156,1,point,291.624,97.0476,57.5749,156
1_158,1,point,299.341,96.9817,44.8183,158
1_159,1,point,302.617,147.015,58.1237,159
1_162,1,point,242.663,149.051,56.6229,162
1_163,1,point,314.971,173.468,56.6227,163
1_164,1,point,277.386,96.6846,56.0045,164
1_165,1,point,183.797,114.873,55.2292,165
1_166,1,point,220.141,118.426,55.1712,166
1_167,1,point,243.541,135.138,54.4777,167
1_168,1,point,298.862,138.955,51.3586,168
1_169,1,point,154.928,115.89,51.9498,169
1_170,1,point,357.432,64.6094,50.2697,170
1_171,1,point,321.357,79.1961,48.811,171
1_172,1,point,308.049,89.7647,49.6807,172
1_173,1,point,297.835,126.881,48.4443,173
1_174,1,point,328.276,169.904,57.5433,174
1_175,1,point,334.333,172.958,47.7158,175
1_176,1,point,375.3,178.384,48.9848,176
1_177,1,point,422.122,171.995,47.6743,177
1_179,1,point,437.052,182.876,46.7368,179
1_181,1,point,430.285,77.2609,42.4585,181
1_182,1,point,327.605,137.482,46.0873,182
1_183,1,point,317.854,150.332,44.3498,183
1_184,1,point,360.807,175.286,44.2082,184
1_185,1,point,368.524,168.607,43.123,185
1_186,1,point,462.364,78.1201,41.3575,186
1_187,1,point,334.968,157.569,41.1173,187
1_188,1,point,346.551,73.8947,40.1492,188
1_191,1,point,285.824,150.026,40.648,191
1_192,1,point,316.546,135.433,39.8062,192
1_193,1,point,353.037,161.767,39.9061,193
1_194,1,point,427.982,160.646,39.1735,194
1_195,1,point,401.647,77.8795,38.0087,195
1_196,1,point,312.134,120.835,36.2632,196
1_198,1,point,506.99,74.54,33.0554,198
1_199,1,point,329.86,141.66,32.9679,199
1_200,1,point,326.166,121.863,29.8891,200
1_201,1,point,368.802,148.103,27.1317,201
1_202,1,point,445.633,134.229,23.9088,202
1_203,1,point,498.575,165.345,24.9457,203
